"host_genus_species","Family_Group","sociality","social_score","fam_soc_score","notes","ref"
"Acetes_americanus","SERGESTIDAE","aggregates","gregarious","gregarious","""Spectacular schools and/or swarms of Acetes...are the bases of important commercial fisheries..."" 636","636"
"Acetes_chinensis","SERGESTIDAE","aggregates","gregarious","gregarious","""Spectacular schools and/or swarms of Acetes...are the bases of important commercial fisheries..."" 636","636"
"Acetes_indicus","SERGESTIDAE","aggregates","gregarious","gregarious","""Spectacular schools and/or swarms of Acetes...are the bases of important commercial fisheries..."" 636","636"
"Acetes_intermedius","SERGESTIDAE","aggregates","gregarious","gregarious","""Spectacular schools and/or swarms of Acetes...are the bases of important commercial fisheries..."" 636","636"
"Acetes_japonicus","SERGESTIDAE","aggregates","gregarious","gregarious","""Spectacular schools and/or swarms of Acetes...are the bases of important commercial fisheries..."" 636","636"
"Haliporoides_sibogae","SOLENOCERIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Pleoticus_muelleri","SOLENOCERIDAE","aggregates","gregarious","gregarious","reproductive and non-reproductive aggregations","725"
"Solenocera_acuminata","SOLENOCERIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Solenocera_choprai","SOLENOCERIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Solenocera_melantho","SOLENOCERIDAE",NA,"unknown","gregarious","""one of the most abundant species in the East China Sea and the Yellow Sea""",NA
"Upogebia_pusilla","UPOGEBIIDAE","solitary","solitary","solitary","burrowing, occur in high densities but ""Burrows are always inhabited by a single shrimp. Although they overlap, they are never interconnected""","728"
"Menippe_mercenaria","XANTHIDAE","solitary","solitary","solitary","may settle gregariously, but solitary",NA
"Xantho_poressa","XANTHIDAE","mating_aggregate","repro_aggregate","repro_aggregate","found one male with several females sharing refuge, may aggregate?","729"
